,Run,DatasetSize,Distribution,Parameter,#threads,SearchAlgorithm,RecordSizeBytes,TimeNS
0,0,100000,uniform,42,1,is,8,105.4
1,0,100000,uniform,42,1,is,8,98.3
2,0,100000,uniform,42,1,is,8,95.4
3,0,100000,uniform,42,1,is,8,92.9
4,0,100000,uniform,42,1,is,8,92.2
5,0,100000,uniform,42,1,is,8,122.7
6,0,100000,uniform,42,1,is,8,91.9
7,0,100000,uniform,42,1,is,8,92.2
8,0,100000,uniform,42,1,is,8,91.4
9,0,100000,uniform,42,1,is,8,92.9
10,0,100000,uniform,42,1,is,8,91.6
11,0,100000,uniform,42,1,is,8,92.9
12,0,100000,uniform,42,1,is,8,91.6
13,0,100000,uniform,42,1,is,8,92.6
14,0,100000,uniform,42,1,is,8,91.0
15,0,100000,uniform,42,1,is,8,108.6
16,0,100000,uniform,42,1,is,8,112.0
17,0,100000,uniform,42,1,is,8,98.3
18,0,100000,uniform,42,1,is,8,91.9
19,0,100000,uniform,42,1,is,8,91.3
20,0,100000,uniform,42,1,is,8,91.2
21,0,100000,uniform,42,1,is,8,92.0
22,0,100000,uniform,42,1,is,8,90.5
23,0,100000,uniform,42,1,is,8,91.3
24,0,100000,uniform,42,1,is,8,95.4
25,0,100000,uniform,42,1,is,8,94.4
26,0,100000,uniform,42,1,is,8,128.0
27,0,100000,uniform,42,1,is,8,90.2
28,0,100000,uniform,42,1,is,8,93.1
29,0,100000,uniform,42,1,is,8,90.7
30,0,100000,uniform,42,1,is,8,89.9
31,0,100000,uniform,42,1,is,8,91.5
32,0,100000,uniform,42,1,is,8,92.2
33,0,100000,uniform,42,1,is,8,90.4
34,0,100000,uniform,42,1,is,8,89.7
35,0,100000,uniform,42,1,is,8,92.6
36,0,100000,uniform,42,1,is,8,106.1
37,0,100000,uniform,42,1,is,8,96.5
38,0,100000,uniform,42,1,is,8,92.0
39,0,100000,uniform,42,1,is,8,91.8
40,0,100000,uniform,42,1,is,8,90.2
41,0,100000,uniform,42,1,is,8,91.6
42,0,100000,uniform,42,1,is,8,90.5
43,0,100000,uniform,42,1,is,8,93.9
44,0,100000,uniform,42,1,is,8,91.7
45,0,100000,uniform,42,1,is,8,91.4
46,0,100000,uniform,42,1,is,8,92.2
47,0,100000,uniform,42,1,is,8,100.9
48,0,100000,uniform,42,1,is,8,88.8
49,0,100000,uniform,42,1,is,8,90.5
50,0,100000,uniform,42,1,is,8,89.6
51,0,100000,uniform,42,1,is,8,90.7
52,0,100000,uniform,42,1,is,8,91.7
53,0,100000,uniform,42,1,is,8,94.2
54,0,100000,uniform,42,1,is,8,91.9
55,0,100000,uniform,42,1,is,8,93.0
56,0,100000,uniform,42,1,is,8,90.6
57,0,100000,uniform,42,1,is,8,94.8
58,0,100000,uniform,42,1,is,8,318.6
59,0,100000,uniform,42,1,is,8,128.7
60,0,100000,uniform,42,1,is,8,92.0
61,0,100000,uniform,42,1,is,8,91.2
62,0,100000,uniform,42,1,is,8,93.9
63,0,100000,uniform,42,1,is,8,95.2
64,0,100000,uniform,42,1,is,8,94.2
65,0,100000,uniform,42,1,is,8,95.3
66,0,100000,uniform,42,1,is,8,92.7
67,0,100000,uniform,42,1,is,8,93.3
68,0,100000,uniform,42,1,is,8,125.0
69,0,100000,uniform,42,1,is,8,89.9
70,0,100000,uniform,42,1,is,8,90.8
71,0,100000,uniform,42,1,is,8,92.1
72,0,100000,uniform,42,1,is,8,92.3
73,0,100000,uniform,42,1,is,8,92.0
74,0,100000,uniform,42,1,is,8,90.8
75,0,100000,uniform,42,1,is,8,90.6
76,0,100000,uniform,42,1,is,8,145.0
77,0,100000,uniform,42,1,is,8,92.1
78,0,100000,uniform,42,1,is,8,90.3
79,0,100000,uniform,42,1,is,8,93.5
80,0,100000,uniform,42,1,is,8,92.0
81,0,100000,uniform,42,1,is,8,91.8
82,0,100000,uniform,42,1,is,8,93.6
83,0,100000,uniform,42,1,is,8,91.2
84,0,100000,uniform,42,1,is,8,94.7
85,0,100000,uniform,42,1,is,8,91.2
86,0,100000,uniform,42,1,is,8,97.2
87,0,100000,uniform,42,1,is,8,90.9
88,0,100000,uniform,42,1,is,8,92.8
89,0,100000,uniform,42,1,is,8,93.5
90,0,100000,uniform,42,1,is,8,92.3
91,0,100000,uniform,42,1,is,8,93.9
92,0,100000,uniform,42,1,is,8,92.0
93,0,100000,uniform,42,1,is,8,93.6
94,0,100000,uniform,42,1,is,8,92.4
95,0,100000,uniform,42,1,is,8,96.1
96,0,100000,uniform,42,1,is,8,89.3
97,0,100000,uniform,42,1,is,8,94.2
98,0,100000,uniform,42,1,is,8,93.2
99,0,100000,uniform,42,1,is,8,91.6
100,1,100000,uniform,42,1,isseq,8,77.2
101,1,100000,uniform,42,1,isseq,8,73.3
102,1,100000,uniform,42,1,isseq,8,81.1
103,1,100000,uniform,42,1,isseq,8,78.2
104,1,100000,uniform,42,1,isseq,8,75.2
